,Tipo,Título,Fecha,Duración,Número de videos,Link
22,Clase,SQL Consultas avanzadas 1 Funciones Agregadas,15/07/2022 10:45:34,31,3,https://us02web.zoom.us/rec/share/ovNp80nqtr4tn3czI94qwVXCVTchCc7JqC1plcqpWGcMwIGcdT7AN7nrxOSVf1c.dxKOKiPUJHGZ3vsa
23,Clase,"Repaso Python  tuplas, sets , sentencias de control y bucles for .",18/07/2022 8:19:41,251,6,https://us02web.zoom.us/rec/share/RKJIJncPsynWaLj9yLPy1vyfYp_d2mw8bQf4mWMIPmLU6BVg8rRvuCJ46012RbpZ.85g1IqGgDEqq42oN
24,Clase,Python Funciones Introduccion,20/07/2022 8:15:14,57,3,https://us02web.zoom.us/rec/share/GoR-UXt9cK9LQ3FbJicbi0A1ULX0QmcrNAAtCtUM56pn40grRCLO8ScuTOOZHpah.F67-gmnxut6T5k2-
25,Clase,"SQL Consultas Avanzadas 2 GOUP BY, HAVING, CASE  ",20/07/2022 10:49:27,54,2,https://us02web.zoom.us/rec/share/GVGoF9dSYFVUosbLs7ahFGSKf9tLA0Z9rMzgreXUzgfCtVRDJ5YWws7AgDF_OtEM.vjBb_dZ3NVJUyIhw
26,Tutoria,Python List comprehension y bucles for,20/07/2022 14:43:58,31,2,https://us02web.zoom.us/rec/webhook_download/ddIPh7ix8Dto395XHJc-xcqbKjJXpvjXPJgrm8AmhtB1x36LEbg-V169v05wxKYztNcewDFs0jwLwqO9.OM2GIShcvhUG4AFZ/6GtUfcSeH1GjF_UqE7b7td4bgTc2sXm8RGjkmQTBicRpV_8D4OXEbxzHlL34XedFzQ.pLanfcHfPdUxFwvS
27,Clase,Python Funciones args y kwargs,21/07/2022 7:51:57,71,2,https://us02web.zoom.us/rec/share/rGWTr_gNKKA7e6WdeOPH3UwqYQC01yXjdPlGoRtXxoHah8Ztl74sLM5yb8fCgB_6.JVb0YuXXQv69CRWI
28,Clase,"SQL Consultas en multiples tablas: Cross, natural, inner join",21/07/2022 10:51:00,52,3,https://us02web.zoom.us/rec/share/iCEWdD_ZAlKFXLAm5cQaR3fv7UD49C99UBd4fBZbBkh79T1zfcd7bDpbfBTM39F2.Ur5-EHbD7gV8d08h
29,Tutoria,Git Merge conlficts,21/07/2022 14:32:21,32,2,https://us02web.zoom.us/rec/webhook_download/3LPY_isk8Gat7FivYjKn7yK_0WWVMIm4_a-NC66JSeaAJOIiMUYBsS7f7tl9qjm-lpYs8vxX58LUYD5j.eThOshe25Ohm3Mh_/Yb2BpZRRtk6pV8SCY_bNJ5c-owfKDzIswlJKjBI6tlpjWYkOUsEV0lkHI0ZjICXHqQ.V8_qdJ30GgcRT7N3
30,Clase,Python Clases,22/07/2022 8:24:44,61,2,https://us02web.zoom.us/rec/share/4pPyX6J3uMDFTOvSbfkKwiR3iP2Aqa_TSH4MqMBRv7lfpXb2VMvfhR0zC560lv3q.w_IJqoUxJu7072aT
31,Clase," SQL Consultas en multiples tablas: Left, Rigth, Full outer join",22/07/2022 13:27:28,100,4,https://us02web.zoom.us/rec/share/JA3ufWrlJz5OqdJtwfBeywszMisGvzEBt_S1oFmoDX84jAD-wFAoFa_OF8JCwLic.7nMUtAo6VUhCHei-
